"","Date","mine_water_level"
"3996",2019-08-02,118.6
"3997",2019-08-03,118.6
"3998",2019-08-04,118.6
"3999",2019-08-05,118.55
"4000",2019-08-06,118.56
"4001",2019-08-07,118.53
"4002",2019-08-08,118.55
"4003",2019-08-09,118.54
"4004",2019-08-10,118.53
"4005",2019-08-11,118.57
"4006",2019-08-12,118.56
"4007",2019-08-13,118.56
"4008",2019-08-14,118.57
"4009",2019-08-15,118.51
"4010",2019-08-16,118.56
"4011",2019-08-17,118.49
"4012",2019-08-18,118.5
"4013",2019-08-19,118.53
"4014",2019-08-20,118.57
"4015",2019-08-21,118.6
"4016",2019-08-22,118.57
"4017",2019-08-23,118.57
"4018",2019-08-24,118.54
"4019",2019-08-25,118.52
"4020",2019-08-26,118.52
"4021",2019-08-27,118.49
"4022",2019-08-28,118.48
"4023",2019-08-29,118.5
"4024",2019-08-30,118.53
"4025",2019-08-31,118.49
"4026",2019-09-01,118.46
"4027",2019-09-02,118.52
"4028",2019-09-03,118.52
"4029",2019-09-04,118.49
"4030",2019-09-05,118.47
"4031",2019-09-06,118.53
"4032",2019-09-07,118.48
"4033",2019-09-08,118.48
"4034",2019-09-09,118.46
"4035",2019-09-10,118.42
"4036",2019-09-11,118.54
"4037",2019-09-12,118.63
"4038",2019-09-13,118.71
"4039",2019-09-14,118.77
"4040",2019-09-15,118.76
"4041",2019-09-16,118.78
"4042",2019-09-17,118.82
"4043",2019-09-18,118.89
"4044",2019-09-19,118.93
"4045",2019-09-20,118.95
"4046",2019-09-21,118.83
"4047",2019-09-22,118.72
"4048",2019-09-23,118.72
"4049",2019-09-24,118.68
"4050",2019-09-25,118.62
"4051",2019-09-26,118.62
"4052",2019-09-27,118.61
"4053",2019-09-28,118.57
"4054",2019-09-29,118.54
"4055",2019-09-30,118.52
"4056",2019-10-01,118.49
"4057",2019-10-02,118.5
"4058",2019-10-03,118.57
"4059",2019-10-04,118.5
"4060",2019-10-05,118.5
"4061",2019-10-06,118.51
"4062",2019-10-07,118.5
"4063",2019-10-08,118.47
"4064",2019-10-09,118.45
"4065",2019-10-10,118.45
"4066",2019-10-11,118.47
"4067",2019-10-12,118.43
"4068",2019-10-13,118.43
"4069",2019-10-14,118.45
"4070",2019-10-15,118.4
"4071",2019-10-16,118.42
"4072",2019-10-17,118.41
"4073",2019-10-18,118.4
"4074",2019-10-19,118.39
"4075",2019-10-20,118.39
"4076",2019-10-21,118.41
"4077",2019-10-22,118.46
"4078",2019-10-23,118.43
"4079",2019-10-24,118.36
"4080",2019-10-25,118.41
"4081",2019-10-26,118.4
"4082",2019-10-27,118.38
"4083",2019-10-28,118.43
"4084",2019-10-29,118.41
"4085",2019-10-30,118.43
"4086",2019-10-31,118.4
"4087",2019-11-01,118.34
"4088",2019-11-02,118.22
"4089",2019-11-03,118.21
"4090",2019-11-04,118.23
"4091",2019-11-05,118.27
"4092",2019-11-06,118.3
"4093",2019-11-07,118.28
"4094",2019-11-08,118.3
"4095",2019-11-09,118.33
"4096",2019-11-10,118.32
"4097",2019-11-11,118.33
"4098",2019-11-12,118.27
"4099",2019-11-13,118.26
"4100",2019-11-14,118.25
"4101",2019-11-15,118.25
"4102",2019-11-16,118.29
"4103",2019-11-17,118.32
"4104",2019-11-18,118.28
"4105",2019-11-19,118.32
"4106",2019-11-20,118.34
"4107",2019-11-21,118.28
"4108",2019-11-22,118.25
"4109",2019-11-23,118.21
"4110",2019-11-24,118.24
"4111",2019-11-25,118.27
"4112",2019-11-26,118.24
"4113",2019-11-27,118.17
"4114",2019-11-28,118.16
"4115",2019-11-29,118.24
"4116",2019-11-30,118.35
"4117",2019-12-01,118.31
"4118",2019-12-02,118.33
"4119",2019-12-03,118.34
"4120",2019-12-04,118.3
"4121",2019-12-05,118.28
"4122",2019-12-06,118.24
"4123",2019-12-07,118.22
"4124",2019-12-08,118.21
"4125",2019-12-09,118.16
"4126",2019-12-10,118.32
"4127",2019-12-11,118.22
"4128",2019-12-12,118.18
"4129",2019-12-13,118.03
"4130",2019-12-14,118.08
"4131",2019-12-15,118.15
"4132",2019-12-16,118.22
"4133",2019-12-17,118.17
"4134",2019-12-18,118.24
"4135",2019-12-19,118.23
"4136",2019-12-20,118.11
"4137",2019-12-21,118.11
"4138",2019-12-22,118.04
"4139",2019-12-23,118.16
"4140",2019-12-24,118.23
"4141",2019-12-25,118.21
