"","Date","mine_water_level"
"4712",2021-09-06,112.45
"4713",2021-09-07,112.43
"4714",2021-09-08,112.43
"4715",2021-09-09,112.4
"4716",2021-09-10,112.36
"4717",2021-09-11,112.37
"4718",2021-09-12,112.36
"4719",2021-09-13,112.34
"4720",2021-09-14,112.33
"4721",2021-09-15,112.3
"4722",2021-09-16,112.28
"4723",2021-09-17,112.26
"4724",2021-09-18,112.24
"4725",2021-09-19,112.23
"4726",2021-09-20,112.23
"4727",2021-09-21,112.27
"4728",2021-09-22,112.27
"4729",2021-09-23,112.24
"4730",2021-09-24,112.21
"4731",2021-09-25,112.17
"4732",2021-09-26,112.16
"4733",2021-09-27,112.15
"4734",2021-09-28,112.17
"4735",2021-09-29,112.15
"4736",2021-09-30,112.13
"4737",2021-10-01,112.11
"4738",2021-10-02,112.07
"4739",2021-10-03,111.94
"4740",2021-10-04,112.03
"4741",2021-10-05,112.02
"4742",2021-10-06,111.97
"4743",2021-10-07,112.02
"4744",2021-10-08,112.03
"4745",2021-10-09,112.01
"4746",2021-10-10,112
"4747",2021-10-11,111.99
"4748",2021-10-12,111.98
"4749",2021-10-13,111.97
"4750",2021-10-14,111.95
"4751",2021-10-15,111.94
"4752",2021-10-16,111.92
"4753",2021-10-17,111.91
"4754",2021-10-18,111.89
"4755",2021-10-19,111.89
"4756",2021-10-20,111.84
"4757",2021-10-21,111.68
"4758",2021-10-22,111.86
"4759",2021-10-23,111.87
"4760",2021-10-24,111.86
"4761",2021-10-25,111.85
"4762",2021-10-26,111.84
"4763",2021-10-27,111.82
"4764",2021-10-28,111.8
"4765",2021-10-29,111.77
"4766",2021-10-30,111.73
"4767",2021-10-31,111.74
"4768",2021-11-01,111.65
